Date,Open,High,Low,Close,Adj Close,Volume,Returns
2016-01-04,102.610001,105.370003,102.0,105.349998,101.42603299999999,67649400,
2016-01-05,105.75,105.849998,102.410004,102.709999,98.88436899999999,55791000,-0.025059286307687834
2016-01-06,100.559998,102.370003,99.870003,100.699997,96.949242,68457400,-0.0195695944623967
2016-01-07,98.68,100.129997,96.43,96.449997,92.857529,81094400,-0.04220469304958563
2016-01-08,98.550003,99.110001,96.760002,96.959999,93.348541,70798000,0.005287799549350547
2016-01-11,98.970001,99.059998,97.339996,98.529999,94.860062,49739400,0.016192229506832856
2016-01-12,100.550003,100.690002,98.839996,99.959999,96.23679399999999,49154200,0.014513294330336768
2016-01-13,100.32,101.190002,97.300003,97.389999,93.762527,62439600,-0.025710197702554227
2016-01-14,97.959999,100.480003,95.739998,99.519997,95.813171,63170100,0.02187061361944731
2016-01-15,96.199997,97.709999,95.360001,97.129997,93.51220699999999,79010000,-0.024015111659335564
2016-01-19,98.410004,98.650002,95.5,96.660004,93.059715,53087700,-0.004838854888752575
2016-01-20,95.099998,98.190002,93.41999799999999,96.790001,93.184875,72334400,0.001344942868135801
2016-01-21,97.059998,97.879997,94.940002,96.300003,92.713127,52161500,-0.005062495388870825
2016-01-22,98.629997,101.459999,98.370003,101.41999799999999,97.64241,65800500,0.05316704505069714
2016-01-25,101.519997,101.529999,99.209999,99.440002,95.73616,51794500,-0.019522766797747004
2016-01-26,99.93,100.879997,98.07,99.989998,96.26567800000001,75077000,0.005531013568958798
2016-01-27,96.040001,96.629997,93.339996,93.41999799999999,89.940399,133369700,-0.06570648159773007
2016-01-28,93.790001,94.519997,92.389999,94.089996,90.585442,55678800,0.007171893911655847
2016-01-29,94.790001,97.339996,94.349998,97.339996,93.714378,64416500,0.03454126767963439
2016-02-01,96.470001,96.709999,95.400002,96.43,92.838287,40943500,-0.00934852280618026
2016-02-02,95.41999799999999,96.040001,94.279999,94.480003,90.960915,37357200,-0.020221958640835314
2016-02-03,95.0,96.839996,94.08000200000001,96.349998,92.761269,45964300,0.019792610925252863
2016-02-04,95.860001,97.33000200000001,95.190002,96.599998,93.506599,46471700,0.008034926732190195
2016-02-05,96.519997,96.91999799999999,93.690002,94.019997,91.009224,46418100,-0.026708008062618083
2016-02-08,93.129997,95.699997,93.040001,95.010002,91.967522,54021400,0.010529679936618352
2016-02-09,94.290001,95.940002,93.93,94.989998,91.948151,44331200,-0.00021062870433763425
2016-02-10,95.91999799999999,96.349998,94.099998,94.269997,91.251221,42343600,-0.007579597767006674
2016-02-11,93.790001,94.720001,92.589996,93.699997,90.699478,50074700,-0.0060464177240981964
2016-02-12,94.190002,94.5,93.010002,93.989998,90.980186,40351400,0.0030949240964761593
2016-02-16,95.019997,96.849998,94.610001,96.639999,93.545326,49057900,0.02819449061139534
2016-02-17,96.66999799999999,98.209999,96.150002,98.120003,94.977928,44863200,0.015314522502171801
2016-02-18,98.839996,98.889999,96.089996,96.260002,93.177498,39021000,-0.018956298983485942
2016-02-19,96.0,96.760002,95.800003,96.040001,92.964539,35374200,-0.0022855196219155882
2016-02-22,96.309998,96.900002,95.91999799999999,96.879997,93.77763399999999,34280800,0.008746291959776054
2016-02-23,96.400002,96.5,94.550003,94.690002,91.657768,31942600,-0.022605240818935446
2016-02-24,93.980003,96.379997,93.32,96.099998,93.022614,36255700,0.014890674623453615
2016-02-25,96.050003,96.760002,95.25,96.760002,93.661484,27582700,0.0068678998850753015
2016-02-26,97.199997,98.019997,96.58000200000001,96.910004,93.806679,28991100,0.0015502103297873049
2016-02-29,96.860001,98.230003,96.650002,96.690002,93.593727,35216300,-0.0022701155426256836
2016-03-01,97.650002,100.769997,97.41999799999999,100.529999,97.310738,50407100,0.03971431760592248
2016-03-02,100.510002,100.889999,99.639999,100.75,97.523712,33169600,0.002188597110423851
2016-03-03,100.58000200000001,101.709999,100.449997,101.5,98.249687,36955700,0.007444087033930735
2016-03-04,102.370003,103.75,101.370003,103.010002,99.711334,46055100,0.014876861643335237
2016-03-07,102.389999,102.83000200000001,100.959999,101.870003,98.607834,35828900,-0.011066946511817721
2016-03-08,100.779999,101.760002,100.400002,101.029999,97.794731,31561900,-0.008245825580146082
2016-03-09,101.309998,101.58000200000001,100.269997,101.120003,97.88185899999999,27201700,0.0008909273445416588
2016-03-10,101.410004,102.239998,100.150002,101.16999799999999,97.93024399999999,33513600,0.0004943204031300219
2016-03-11,102.239998,102.279999,101.5,102.260002,98.985344,27408200,0.010773995416574422
2016-03-14,101.910004,102.910004,101.779999,102.519997,99.23703,25076100,0.002542659244584744
2016-03-15,103.959999,105.18,103.849998,104.58000200000001,101.231064,40067700,0.02009364851003692
2016-03-16,104.610001,106.309998,104.589996,105.970001,102.576553,38303500,0.013291266009018754
