Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,154.5,154.809998,153.53999299999998,154.25,154.25,4202500
2018-01-03,157.33999599999999,159.809998,156.330002,158.490005,158.490005,9441600
2018-01-04,159.649994,162.320007,159.369995,161.699997,161.699997,7556200
2018-01-05,162.440002,162.899994,161.100006,162.490005,162.490005,5195800
2018-01-08,162.66000400000001,163.91000400000001,161.699997,163.470001,163.470001,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,163.830002,4341800
2018-01-10,162.91000400000001,164.330002,162.5,164.179993,164.179993,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,164.199997,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,163.139999,5031900
2018-01-16,165.100006,165.28999299999998,163.350006,163.850006,163.850006,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,168.649994,11710000
2018-01-18,170.0,171.130005,168.149994,169.119995,169.119995,14259300
2018-01-19,164.46000700000002,165.399994,161.300003,162.369995,162.369995,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,162.600006,8480800
2018-01-23,162.820007,166.259995,162.509995,166.25,166.25,7466200
2018-01-24,166.75,168.720001,164.820007,165.369995,165.369995,5645000
2018-01-25,165.91000400000001,166.779999,165.190002,165.470001,165.470001,3302500
2018-01-26,166.119995,167.41000400000001,165.78999299999998,167.33999599999999,167.33999599999999,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,166.800003,3517000
2018-01-30,166.21000700000002,166.770004,163.16000400000001,163.619995,163.619995,4902300
2018-01-31,163.75,164.990005,162.759995,163.699997,163.699997,4072800
2018-02-01,163.190002,164.130005,161.899994,162.399994,162.399994,4422500
